Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1776702395,2026-04-20T16:26:35Z,JBU1287,"41.724758,-71.4356",0,0,180
1776704905,2026-04-20T17:08:25Z,JBU1287,"41.724667,-71.435356",0,0,309
1776704925,2026-04-20T17:08:45Z,JBU1287,"41.724552,-71.43515",0,0,317
1776704951,2026-04-20T17:09:11Z,JBU1287,"41.724422,-71.434944",0,0,334
1776705217,2026-04-20T17:13:37Z,JBU1287,"41.724537,-71.434715",0,7,16
1776705227,2026-04-20T17:13:47Z,JBU1287,"41.724884,-71.434448",0,9,30
1776705236,2026-04-20T17:13:56Z,JBU1287,"41.72517,-71.434212",0,9,32
1776705243,2026-04-20T17:14:03Z,JBU1287,"41.725471,-71.433983",0,11,31
1776705252,2026-04-20T17:14:12Z,JBU1287,"41.7257,-71.433517",0,9,57
1776705258,2026-04-20T17:14:18Z,JBU1287,"41.725578,-71.433212",0,11,109
1776705263,2026-04-20T17:14:23Z,JBU1287,"41.72546,-71.432899",0,10,117
1776705266,2026-04-20T17:14:26Z,JBU1287,"41.725422,-71.432693",0,11,106
1776705271,2026-04-20T17:14:31Z,JBU1287,"41.725422,-71.432373",0,12,92
1776705274,2026-04-20T17:14:34Z,JBU1287,"41.725422,-71.432091",0,13,87
1776705278,2026-04-20T17:14:38Z,JBU1287,"41.725445,-71.431808",0,13,87
1776705282,2026-04-20T17:14:42Z,JBU1287,"41.725456,-71.431465",0,14,87
1776705285,2026-04-20T17:14:45Z,JBU1287,"41.725468,-71.431221",0,15,87
1776705287,2026-04-20T17:14:47Z,JBU1287,"41.725479,-71.431015",0,15,84
1776705289,2026-04-20T17:14:49Z,JBU1287,"41.725491,-71.430763",0,16,84
1776705294,2026-04-20T17:14:54Z,JBU1287,"41.725529,-71.430229",0,17,84
1776705299,2026-04-20T17:14:59Z,JBU1287,"41.725548,-71.42984",0,18,87
1776705300,2026-04-20T17:15:00Z,JBU1287,"41.725559,-71.429581",0,18,87
1776705304,2026-04-20T17:15:04Z,JBU1287,"41.725563,-71.429192",0,17,90
1776705306,2026-04-20T17:15:06Z,JBU1287,"41.725525,-71.428986",0,16,98
1776705309,2026-04-20T17:15:09Z,JBU1287,"41.725445,-71.428749",0,16,112
1776705312,2026-04-20T17:15:12Z,JBU1287,"41.725296,-71.428413",0,15,120
1776705315,2026-04-20T17:15:15Z,JBU1287,"41.725178,-71.428154",0,15,120
1776705319,2026-04-20T17:15:19Z,JBU1287,"41.725052,-71.427887",0,14,123
1776705321,2026-04-20T17:15:21Z,JBU1287,"41.724976,-71.427673",0,13,115
1776705327,2026-04-20T17:15:27Z,JBU1287,"41.725029,-71.427292",0,13,88
1776705331,2026-04-20T17:15:31Z,JBU1287,"41.725258,-71.427101",0,12,42
1776705336,2026-04-20T17:15:36Z,JBU1287,"41.725525,-71.42688",0,13,33
1776705341,2026-04-20T17:15:41Z,JBU1287,"41.725773,-71.426674",0,15,30
1776705347,2026-04-20T17:15:47Z,JBU1287,"41.726192,-71.426338",0,16,30
1776705351,2026-04-20T17:15:51Z,JBU1287,"41.726463,-71.426102",0,16,30
1776705356,2026-04-20T17:15:56Z,JBU1287,"41.726772,-71.425842",0,16,30
1776705361,2026-04-20T17:16:01Z,JBU1287,"41.727081,-71.425583",0,15,30
1776705369,2026-04-20T17:16:09Z,JBU1287,"41.727566,-71.425171",0,15,30
1776705377,2026-04-20T17:16:17Z,JBU1287,"41.728004,-71.424805",0,14,30
1776705383,2026-04-20T17:16:23Z,JBU1287,"41.728363,-71.424492",0,14,30
1776705391,2026-04-20T17:16:31Z,JBU1287,"41.728809,-71.424118",0,15,30
1776705398,2026-04-20T17:16:38Z,JBU1287,"41.729233,-71.423775",0,16,30
1776705405,2026-04-20T17:16:45Z,JBU1287,"41.729668,-71.423401",0,14,30
1776705414,2026-04-20T17:16:54Z,JBU1287,"41.73019,-71.422958",0,13,33
1776705421,2026-04-20T17:17:01Z,JBU1287,"41.730572,-71.422653",0,14,31
1776705426,2026-04-20T17:17:06Z,JBU1287,"41.730782,-71.422394",0,12,40
1776705429,2026-04-20T17:17:09Z,JBU1287,"41.730801,-71.422127",0,13,65
1776705432,2026-04-20T17:17:12Z,JBU1287,"41.73077,-71.421883",0,14,95
1776705436,2026-04-20T17:17:16Z,JBU1287,"41.730659,-71.421677",0,15,120
1776705440,2026-04-20T17:17:20Z,JBU1287,"41.73053,-71.421402",0,14,125
1776705444,2026-04-20T17:17:24Z,JBU1287,"41.730389,-71.421173",0,12,125
1776705450,2026-04-20T17:17:30Z,JBU1287,"41.730122,-71.421242",0,11,186
1776705455,2026-04-20T17:17:35Z,JBU1287,"41.729961,-71.421463",0,10,228
1776705466,2026-04-20T17:17:46Z,JBU1287,"41.729721,-71.421654",0,8,213
1776705468,2026-04-20T17:17:48Z,JBU1287,"41.729519,-71.421806",0,17,211
1776705469,2026-04-20T17:17:49Z,JBU1287,"41.729229,-71.422058",0,30,212
1776705472,2026-04-20T17:17:52Z,JBU1287,"41.72858,-71.4226",0,52,211
1776705474,2026-04-20T17:17:54Z,JBU1287,"41.728062,-71.423027",0,64,211
1776705476,2026-04-20T17:17:56Z,JBU1287,"41.727676,-71.423355",0,0,210
1776705477,2026-04-20T17:17:57Z,JBU1287,"41.727367,-71.423615",0,80,210
1776705482,2026-04-20T17:18:02Z,JBU1287,"41.725342,-71.425301",0,100,211
1776705487,2026-04-20T17:18:07Z,JBU1287,"41.723701,-71.426651",0,122,212
1776705489,2026-04-20T17:18:09Z,JBU1287,"41.72221,-71.427933",0,136,212
1776705494,2026-04-20T17:18:14Z,JBU1287,"41.719185,-71.430489",0,156,211
1776705496,2026-04-20T17:18:16Z,JBU1287,"41.717976,-71.431442",0,162,211
1776705499,2026-04-20T17:18:19Z,JBU1287,"41.716438,-71.432724",0,166,211
1776705503,2026-04-20T17:18:23Z,JBU1287,"41.713413,-71.435211",175,164,210
1776705509,2026-04-20T17:18:29Z,JBU1287,"41.709316,-71.438347",550,161,207
1776705511,2026-04-20T17:18:31Z,JBU1287,"41.707901,-71.439224",650,164,202
1776705513,2026-04-20T17:18:33Z,JBU1287,"41.70639,-71.439911",750,165,197
1776705515,2026-04-20T17:18:35Z,JBU1287,"41.705124,-71.440193",825,167,190
1776705518,2026-04-20T17:18:38Z,JBU1287,"41.703495,-71.440453",950,169,183
1776705520,2026-04-20T17:18:40Z,JBU1287,"41.70182,-71.440384",1050,171,174
1776705522,2026-04-20T17:18:42Z,JBU1287,"41.699863,-71.440002",1175,173,169
1776705524,2026-04-20T17:18:44Z,JBU1287,"41.698284,-71.43956",1250,174,166
1776705526,2026-04-20T17:18:46Z,JBU1287,"41.696651,-71.438789",1325,178,160
1776705528,2026-04-20T17:18:48Z,JBU1287,"41.695221,-71.438034",1400,180,155
1776705530,2026-04-20T17:18:50Z,JBU1287,"41.69339,-71.436852",1475,182,151
1776705532,2026-04-20T17:18:52Z,JBU1287,"41.692017,-71.43573",1525,184,148
1776705534,2026-04-20T17:18:54Z,JBU1287,"41.690228,-71.434189",1600,185,146
1776705537,2026-04-20T17:18:57Z,JBU1287,"41.689041,-71.433105",1650,186,146
1776705539,2026-04-20T17:18:59Z,JBU1287,"41.687202,-71.431511",1725,186,147
1776705541,2026-04-20T17:19:01Z,JBU1287,"41.68576,-71.43042",1775,188,149
1776705543,2026-04-20T17:19:03Z,JBU1287,"41.684319,-71.429398",1825,190,153
1776705545,2026-04-20T17:19:05Z,JBU1287,"41.682358,-71.428177",1900,191,155
1776705547,2026-04-20T17:19:07Z,JBU1287,"41.680618,-71.427177",1950,193,157
1776705549,2026-04-20T17:19:09Z,JBU1287,"41.678833,-71.4263",1975,194,159
1776705551,2026-04-20T17:19:11Z,JBU1287,"41.677193,-71.425507",2025,196,160
1776705553,2026-04-20T17:19:13Z,JBU1287,"41.6754,-71.424744",2050,197,161
1776705555,2026-04-20T17:19:15Z,JBU1287,"41.673386,-71.423866",2100,198,161
1776705557,2026-04-20T17:19:17Z,JBU1287,"41.671646,-71.423058",2150,200,161
1776705560,2026-04-20T17:19:20Z,JBU1287,"41.669701,-71.422249",2225,202,162
1776705562,2026-04-20T17:19:22Z,JBU1287,"41.667892,-71.421494",2275,202,162
1776705564,2026-04-20T17:19:24Z,JBU1287,"41.666023,-71.420647",2350,203,162
1776705566,2026-04-20T17:19:26Z,JBU1287,"41.663818,-71.419746",2425,206,162
1776705568,2026-04-20T17:19:28Z,JBU1287,"41.661926,-71.418991",2475,207,162
1776705570,2026-04-20T17:19:30Z,JBU1287,"41.659924,-71.418098",2550,208,162
1776705572,2026-04-20T17:19:32Z,JBU1287,"41.658188,-71.417435",2600,209,162
1776705575,2026-04-20T17:19:35Z,JBU1287,"41.655945,-71.416504",2675,210,162
1776705577,2026-04-20T17:19:37Z,JBU1287,"41.654152,-71.415733",2725,210,162
1776705586,2026-04-20T17:19:46Z,JBU1287,"41.645866,-71.412537",2950,216,164
1776705592,2026-04-20T17:19:52Z,JBU1287,"41.63942,-71.410255",3075,223,165
1776705601,2026-04-20T17:20:01Z,JBU1287,"41.63031,-71.407135",3375,226,165
1776705607,2026-04-20T17:20:07Z,JBU1287,"41.62413,-71.405075",3550,232,165
1776705616,2026-04-20T17:20:16Z,JBU1287,"41.614517,-71.401772",3725,241,165
1776705624,2026-04-20T17:20:24Z,JBU1287,"41.605133,-71.398521",3975,249,165
1776705631,2026-04-20T17:20:31Z,JBU1287,"41.597214,-71.395905",4200,252,166
1776705638,2026-04-20T17:20:38Z,JBU1287,"41.590027,-71.393593",4450,255,166
1776705646,2026-04-20T17:20:46Z,JBU1287,"41.580318,-71.390373",4825,256,166
1776705655,2026-04-20T17:20:55Z,JBU1287,"41.570358,-71.387115",5200,257,166
1776705667,2026-04-20T17:21:07Z,JBU1287,"41.55542,-71.382545",5750,261,167
1776705680,2026-04-20T17:21:20Z,JBU1287,"41.540703,-71.377922",6325,262,166
1776705693,2026-04-20T17:21:33Z,JBU1287,"41.525482,-71.373131",6700,270,166
1776705707,2026-04-20T17:21:47Z,JBU1287,"41.507324,-71.367126",7475,270,164
1776705720,2026-04-20T17:22:00Z,JBU1287,"41.492008,-71.361374",8075,272,164
1776705733,2026-04-20T17:22:13Z,JBU1287,"41.476974,-71.35569",8600,274,164
1776705746,2026-04-20T17:22:26Z,JBU1287,"41.460819,-71.349815",8975,282,165
1776705759,2026-04-20T17:22:39Z,JBU1287,"41.443634,-71.344276",9625,281,166
1776705774,2026-04-20T17:22:54Z,JBU1287,"41.425114,-71.337868",10275,281,165
